nummer,stadtbezirk,jahr,metric,value
01,Altstadt,2011,einwohner_hw,18258.0
01,Altstadt,2012,einwohner_hw,18161.0
01,Altstadt,2013,einwohner_hw,18145.0
01,Altstadt,2014,einwohner_hw,18048.0
01,Altstadt,2015,einwohner_hw,18136.0
01,Altstadt,2016,einwohner_hw,18539.0
01,Altstadt,2017,einwohner_hw,18768.0
01,Altstadt,2018,einwohner_hw,19033.0
01,Altstadt,2019,einwohner_hw,18882.0
01,Altstadt,2020,einwohner_hw,18685.0
01,Altstadt,2021,einwohner_hw,18628.0
01,Altstadt,2022,einwohner_hw,18721.0
01,Altstadt,2023,einwohner_hw,18549.0
01,Altstadt,2024,einwohner_hw,18763.0
02,Zellerau,2011,einwohner_hw,11551.0
02,Zellerau,2012,einwohner_hw,11587.0
02,Zellerau,2013,einwohner_hw,11675.0
02,Zellerau,2014,einwohner_hw,11612.0
02,Zellerau,2015,einwohner_hw,11523.0
02,Zellerau,2016,einwohner_hw,11804.0
02,Zellerau,2017,einwohner_hw,11832.0
02,Zellerau,2018,einwohner_hw,11896.0
02,Zellerau,2019,einwohner_hw,12027.0
02,Zellerau,2020,einwohner_hw,11933.0
02,Zellerau,2021,einwohner_hw,11962.0
02,Zellerau,2022,einwohner_hw,12037.0
02,Zellerau,2023,einwohner_hw,12154.0
02,Zellerau,2024,einwohner_hw,12305.0
03,Dürrbachtal,2011,einwohner_hw,6067.0
03,Dürrbachtal,2012,einwohner_hw,6001.0
03,Dürrbachtal,2013,einwohner_hw,6019.0
03,Dürrbachtal,2014,einwohner_hw,5965.0
03,Dürrbachtal,2015,einwohner_hw,6165.0
03,Dürrbachtal,2016,einwohner_hw,6207.0
03,Dürrbachtal,2017,einwohner_hw,6140.0
03,Dürrbachtal,2018,einwohner_hw,6061.0
03,Dürrbachtal,2019,einwohner_hw,6094.0
03,Dürrbachtal,2020,einwohner_hw,6027.0
03,Dürrbachtal,2021,einwohner_hw,6056.0
03,Dürrbachtal,2022,einwohner_hw,6031.0
03,Dürrbachtal,2023,einwohner_hw,6044.0
03,Dürrbachtal,2024,einwohner_hw,6064.0
04,Grombühl,2011,einwohner_hw,8839.0
04,Grombühl,2012,einwohner_hw,8802.0
04,Grombühl,2013,einwohner_hw,8723.0
04,Grombühl,2014,einwohner_hw,8780.0
04,Grombühl,2015,einwohner_hw,8718.0
04,Grombühl,2016,einwohner_hw,8545.0
04,Grombühl,2017,einwohner_hw,8490.0
04,Grombühl,2018,einwohner_hw,8546.0
04,Grombühl,2019,einwohner_hw,8596.0
04,Grombühl,2020,einwohner_hw,8457.0
04,Grombühl,2021,einwohner_hw,8608.0
04,Grombühl,2022,einwohner_hw,8747.0
04,Grombühl,2023,einwohner_hw,8713.0
04,Grombühl,2024,einwohner_hw,8907.0
05,Lindleinsmühle,2011,einwohner_hw,4971.0
05,Lindleinsmühle,2012,einwohner_hw,4909.0
05,Lindleinsmühle,2013,einwohner_hw,4899.0
05,Lindleinsmühle,2014,einwohner_hw,4894.0
05,Lindleinsmühle,2015,einwohner_hw,4914.0
05,Lindleinsmühle,2016,einwohner_hw,4948.0
05,Lindleinsmühle,2017,einwohner_hw,4937.0
05,Lindleinsmühle,2018,einwohner_hw,4941.0
05,Lindleinsmühle,2019,einwohner_hw,5050.0
05,Lindleinsmühle,2020,einwohner_hw,5027.0
05,Lindleinsmühle,2021,einwohner_hw,4959.0
05,Lindleinsmühle,2022,einwohner_hw,5006.0
05,Lindleinsmühle,2023,einwohner_hw,5055.0
05,Lindleinsmühle,2024,einwohner_hw,5114.0
06,Frauenland,2011,einwohner_hw,17387.0
06,Frauenland,2012,einwohner_hw,17496.0
06,Frauenland,2013,einwohner_hw,17469.0
06,Frauenland,2014,einwohner_hw,17496.0
06,Frauenland,2015,einwohner_hw,17642.0
06,Frauenland,2016,einwohner_hw,17880.0
06,Frauenland,2017,einwohner_hw,18146.0
06,Frauenland,2018,einwohner_hw,18945.0
06,Frauenland,2019,einwohner_hw,19338.0
06,Frauenland,2020,einwohner_hw,19325.0
06,Frauenland,2021,einwohner_hw,19286.0
06,Frauenland,2022,einwohner_hw,19360.0
06,Frauenland,2023,einwohner_hw,19913.0
06,Frauenland,2024,einwohner_hw,20633.0
07,Sanderau,2011,einwohner_hw,13784.0
07,Sanderau,2012,einwohner_hw,13797.0
07,Sanderau,2013,einwohner_hw,13709.0
07,Sanderau,2014,einwohner_hw,13531.0
07,Sanderau,2015,einwohner_hw,13614.0
07,Sanderau,2016,einwohner_hw,13670.0
07,Sanderau,2017,einwohner_hw,13674.0
07,Sanderau,2018,einwohner_hw,13637.0
07,Sanderau,2019,einwohner_hw,13623.0
07,Sanderau,2020,einwohner_hw,13437.0
07,Sanderau,2021,einwohner_hw,13427.0
07,Sanderau,2022,einwohner_hw,13446.0
07,Sanderau,2023,einwohner_hw,13454.0
07,Sanderau,2024,einwohner_hw,13500.0
08,Heidingsfeld,2011,einwohner_hw,10436.0
08,Heidingsfeld,2012,einwohner_hw,10418.0
08,Heidingsfeld,2013,einwohner_hw,10429.0
08,Heidingsfeld,2014,einwohner_hw,10386.0
08,Heidingsfeld,2015,einwohner_hw,10273.0
08,Heidingsfeld,2016,einwohner_hw,10471.0
08,Heidingsfeld,2017,einwohner_hw,10517.0
08,Heidingsfeld,2018,einwohner_hw,10422.0
08,Heidingsfeld,2019,einwohner_hw,10408.0
08,Heidingsfeld,2020,einwohner_hw,10186.0
08,Heidingsfeld,2021,einwohner_hw,10148.0
08,Heidingsfeld,2022,einwohner_hw,10401.0
08,Heidingsfeld,2023,einwohner_hw,10463.0
08,Heidingsfeld,2024,einwohner_hw,10560.0
09,Heuchelhof,2011,einwohner_hw,9889.0
09,Heuchelhof,2012,einwohner_hw,9945.0
09,Heuchelhof,2013,einwohner_hw,9903.0
09,Heuchelhof,2014,einwohner_hw,9848.0
09,Heuchelhof,2015,einwohner_hw,9858.0
09,Heuchelhof,2016,einwohner_hw,9851.0
09,Heuchelhof,2017,einwohner_hw,9822.0
09,Heuchelhof,2018,einwohner_hw,9764.0
09,Heuchelhof,2019,einwohner_hw,9688.0
09,Heuchelhof,2020,einwohner_hw,9661.0
09,Heuchelhof,2021,einwohner_hw,9608.0
09,Heuchelhof,2022,einwohner_hw,9706.0
09,Heuchelhof,2023,einwohner_hw,9725.0
09,Heuchelhof,2024,einwohner_hw,9702.0
10,Steinbachtal,2011,einwohner_hw,4495.0
10,Steinbachtal,2012,einwohner_hw,4553.0
10,Steinbachtal,2013,einwohner_hw,4589.0
10,Steinbachtal,2014,einwohner_hw,4618.0
10,Steinbachtal,2015,einwohner_hw,4737.0
10,Steinbachtal,2016,einwohner_hw,4674.0
10,Steinbachtal,2017,einwohner_hw,4666.0
10,Steinbachtal,2018,einwohner_hw,4732.0
10,Steinbachtal,2019,einwohner_hw,4722.0
10,Steinbachtal,2020,einwohner_hw,4708.0
10,Steinbachtal,2021,einwohner_hw,4718.0
10,Steinbachtal,2022,einwohner_hw,4744.0
10,Steinbachtal,2023,einwohner_hw,4745.0
